Lexem,Genus,Worttrennung,IPA,Silbenzahl
Fruchtsalat,m,Frucht·sa·lat,ˈfʁʊxtzaˌlaːt,3
Fruchtschaumwein,m,Frucht·schaum·wein,ˈfʁʊxtˌʃaʊ̯mvaɪ̯n,3
Fruchtschranne,f,Frucht·schran·ne,,3
Fruchtsäure,f,Frucht·säu·re,ˈfʁʊxtˌzɔɪ̯ʁə,3
Fruchtwasser,n,Frucht·was·ser,ˈfʁʊxtˌvasɐ,3
Fruchtwein,m,Frucht·wein,ˈfʁʊxtˌvaɪ̯n,2
Fruchtzehnt,m,Frucht·zehnt,ˈfʁʊxtˌt͡seːnt,2
Fruchtzehnte,m,Frucht·zehn·te,,3
Fructase,f,Fruc·ta·se,fʁʊkˈtaːzə,3
Fructose,f,Fruc·to·se,fʁʊkˈtoːzə,3
Frugalität,f,Fru·ga·li·tät,fʁuɡaliˈtɛːt,4
Fruktase,f,Fruk·ta·se,fʁʊkˈtaːzə,3
Frust,m,Frust,fʁʊst,1
Frustablassen,n,Frust·ab·las·sen,ˈfʁʊstˌaplasn̩,4
Frustfoul,n,Frust·foul,ˈfʁʊstfaʊ̯l,2
Frustration,f,Frus·tra·ti·on,fʁʊstʁaˈt͡si̯oːn,4
Frutti di Mare,,Frut·ti,ˈfʁʊti,2
Fränkin,f,Frän·kin,ˈfʁɛŋkɪn,2
Fränkisch,n,Frän·kisch,ˈfʁɛŋkɪʃ,2
Fräse,f,Frä·se,ˈfʁɛːzə,2
Fräser,m,Frä·ser,ˈfʁɛːzɐ,2
Fräserin,f,Frä·se·rin,ˈfʁɛːzəʁɪn,3
Fräsmaschine,f,Fräs·ma·schi·ne,ˈfʁɛːsmaˌʃiːnə,4
Fräswerkzeug,n,Fräs·werk·zeug,ˈfʁɛːsvɛʁkˌt͡sɔɪ̯k,3
Fräulein,n,Fräu·lein,ˈfʁɔɪ̯laɪ̯n,2
Fräuleinwunder,n,Fräu·lein·wun·der,ˈfʁɔɪ̯laɪ̯nˌvʊndɐ,4
Fröhlichkeit,f,Fröh·lich·keit,ˈfʁøːlɪçˌkaɪ̯t,3
Frömmigkeit,f,Fröm·mig·keit,ˈfʁœmɪçkaɪ̯t,3
Frömmlerin,f,Frömm·le·rin,ˈfʁœmləʁɪn,3
Früchtchen,n,Frücht·chen,ˈfʁʏçtçən,2
Früchtebrot,n,Früch·te·brot,ˈfʁʏçtəˌbʁoːt,3
Früchtequark,m,Früch·te·quark,ˈfʁʏçtəˌkvaʁk,3
Früchtetee,m,Früch·te·tee,ˈfʁʏçtəˌteː,3
Früh,fmn,Früh,fʁyː,1
Frühaufsteher,m,Früh·auf·ste·her,ˈfʁyːʔaʊ̯fˌʃteːɐ,4
Frühbucher,m,Früh·bu·cher,ˈfʁyːˌbuːxɐ,3
Frühbucherrabatt,m,Früh·bu·cher·ra·batt,ˈfʁyːbuːxɐʁaˌbat,5
Frühburgunder,m,Früh·bur·gun·der,ˈfʁyːbʊʁˌɡʊndɐ,4
Frühchen,n,Früh·chen,ˈfʁyːçən,2
Frühdruck,m,Früh·druck,ˈfʁyːˌdʁʊk,2
Frühe,f,Frü·he,ˈfʁyːə,2
Frühgeburt,f,Früh·ge·burt,ˈfʁyːɡəˌbuːɐ̯t,3
Frühgeschichte,f,Früh·ge·schich·te,ˈfʁyːɡəˌʃɪçtə,4
Frühjahr,n,Früh·jahr,ˈfʁyːˌjaːɐ̯,2
Frühjahrsblume,f,Früh·jahrs·blu·me,ˈfʁyːjaːɐ̯sˌbluːmə,4
Frühjahrslorchel,f,Früh·jahrs·lor·chel,ˈfʁyːjaːɐ̯sˌlɔʁçl̩,4
Frühjahrsmesse,f,Früh·jahrs·mes·se,ˈfʁyːjaːɐ̯sˌmɛsə,4
Frühjahrsputz,m,Früh·jahrs·putz,ˈfʁyːjaːɐ̯sˌpʊt͡s,3
Frühkartoffel,f,Früh·kar·tof·fel,ˈfʁyːkaʁˌtɔfl̩,4
Frühlatein,n,Früh·la·tein,ˈfʁyːlaˌtaɪ̯n,3
Frühling,m,Früh·ling,ˈfʁyːlɪŋ,2
Frühlings-Knollenblätterpilz,m,Früh·lings-Knol·len·blät·ter·pilz,ˈfʁyːlɪŋsˌknɔlənblɛtɐˌpɪlt͡s,7
Frühlingsabend,m,Früh·lings·abend,ˈfʁyːlɪŋsˌʔaːbn̩t,3
Frühlingsanfang,m,Früh·lings·an·fang,ˈfʁyːlɪŋsˌʔanfaŋ,4
Frühlingsbeginn,m,Früh·lings·be·ginn,ˈfʁyːlɪŋsbəˌɡɪn,4
Frühlingsblume,f,Früh·lings·blu·me,ˈfʁyːlɪŋsˌbluːmə,4
Frühlingsblumenstrauß,m,Früh·lings·blu·men·strauß,ˈfʁyːlɪŋsˌbluːmənˌʃtʁaʊ̯s,5
Frühlingsdreieck,n,Früh·lings·drei·eck,ˈfʁyːlɪŋsˌdʁaɪ̯ʔɛk,4
Frühlingsferien,,NA,ˈfʁyːlɪŋsˌfeːʁiən,NA
Frühlingsfest,n,Früh·lings·fest,ˈfʁyːlɪŋsˌfɛst,3
Frühlingsgefühl,n,Früh·lings·ge·fühl,ˈfʁyːlɪŋsɡəˌfyːl,4
Frühlingsgewitter,n,Früh·lings·ge·wit·ter,ˈfʁyːlɪŋsɡəˌvɪtɐ,5
Frühlingsknollenblätterpilz,m,Früh·lings·knol·len·blät·ter·pilz,ˈfʁyːlɪŋsˌknɔlənˌblɛtɐˌpɪlts,7
Frühlingsluft,f,Früh·lings·luft,ˈfʁyːlɪŋsˌlʊft,3
Frühlingsmonat,m,Früh·lings·mo·nat,ˈfʁyːlɪŋsˌmoːnat,4
Frühlingsmorgen,m,Früh·lings·mor·gen,ˈfʁyːlɪŋsˌmɔʁɡn̩,4
Frühlingsnacht,f,Früh·lings·nacht,ˈfʁyːlɪŋsˌnaxt,3
Frühlingsrolle,f,Früh·lings·rol·le,ˈfʁyːlɪŋsˌʁɔlə,4
Frühlingssonne,f,Früh·lings·son·ne,ˈfʁyːlɪŋsˌzɔnə,4
Frühlingstag,m,Früh·lings·tag,ˈfʁyːlɪŋsˌtaːk,3
Frühlingswetter,n,Früh·lings·wet·ter,ˈfʁyːlɪŋsˌvɛtɐ,4
Frühlingswind,m,Früh·lings·wind,ˈfʁyːlɪŋsˌvɪnt,3
Frühlingswoche,f,Früh·lings·wo·che,ˈfʁyːlɪŋsˌvɔxə,4
Frühlingszeit,f,Früh·lings·zeit,ˈfʁyːlɪŋsˌt͡saɪ̯t,3
Frühlorchel,f,Früh·lor·chel,ˈfʁyːˌlɔʁçl̩,3
Frühmensch,m,Früh·mensch,ˈfʁyːˌmɛnʃ,2
Frühmesse,f,Früh·mes·se,ˈfʁyːˌmɛsə,3
Frühmittelalter,n,Früh·mit·tel·al·ter,ˈfʁyːˌmɪtl̩ʔaltɐ,5
Frühmittelhochdeutsch,n,Früh·mit·tel·hoch·deutsch,fʁyːˈmɪtl̩hoːxˌdɔɪ̯t͡ʃ,5
Frühnebel,m,Früh·ne·bel,ˈfʁyːˌneːbl̩,3
Frühneuhochdeutsch,n,Früh·neu·hoch·deutsch,fʁyːˈnɔɪ̯hoːxˌdɔɪ̯t͡ʃ,4
Frühpension,f,Früh·pen·si·on,,4
Frührente,f,Früh·ren·te,ˈfʁyːˌʁɛntə,3
Frührentner,m,Früh·rent·ner,ˈfʁyːˌʁɛntnɐ,3
Frühschicht,f,Früh·schicht,ˈfʁyːˌʃɪçt,2
Frühschoppen,m,Früh·schop·pen,ˈfʁyːˌʃɔpn̩,3
Frühschoppenkonzert,n,Früh·schop·pen·kon·zert,ˈfʁyːˌʃɔpn̩kɔnˌt͡sɛʁt,5
Frühsommer,m,Früh·som·mer,ˈfʁyːˌzɔmɐ,3
Frühsommer-Meningoenzephalitis,f,Früh·som·mer-Me·nin·go·en·ze·pha·li·tis,ˈfʁyːzɔmɐmenɪŋɡoʔɛnt͡sefaˌliːtɪs,11
Frühsport,m,Früh·sport,,2
Frühstadium,n,Früh·sta·di·um,ˈfʁyːˌʃtaːdi̯ʊm,4
Frühstück,n,Früh·stück,ˈfʁyːˌʃtʏk,2
Frühstücksei,n,Früh·stücks·ei,ˈfʁyːʃtʏksˌʔaɪ̯,3
Frühstücksfernsehen,n,Früh·stücks·fern·se·hen,ˈfʁyːʃtʏksˌfɛʁnzeːən,5
Frühstücksfleisch,n,Früh·stücks·fleisch,ˈfʁyːʃtʏksˌflaɪ̯ʃ,3
Frühstückspause,f,Früh·stücks·pau·se,ˈfʁyːʃtʏksˌpaʊ̯zə,4
Frühstückspension,f,Früh·stücks·pen·si·on,ˈfʁyːʃtʏkspɑ̃ˌzi̯oːn,5
Frühstücksraum,m,Früh·stücks·raum,ˈfʁyːʃtʏksˌʁaʊ̯m,3
Frühstücksspeck,m,Früh·stücks·speck,ˈfʁyːʃtʏksˌʃpɛk,3
Frühstückstisch,m,Früh·stücks·tisch,ˈfʁyːʃtʏksˌtɪʃ,3
Frühstückszeit,f,Früh·stücks·zeit,ˈfʁyːʃtʏksˌt͡saɪ̯t,3
Frühstückszerealie,f,Früh·stücks·ze·re·a·lie,ˈfʁyːʃtʏkst͡seʁeˌaːli̯ə,6
Frühzeit,f,Früh·zeit,ˈfʁyːˌt͡saɪ̯t,2
Frühzug,m,Früh·zug,ˈfʁyːˌt͡suːk,2
Fuas,m,Fuas,fuɐs,1
Fuchs,m,Fuchs,fʊks,1
Fuchsbandwurm,m,Fuchs·band·wurm,ˈfʊksbantˌvʊʁm,3
Fuchsbau,m,Fuchs·bau,ˈfʊksˌbaʊ̯,2
Fuchsfell,n,Fuchs·fell,ˈfʊksˌfɛl,2
Fuchsgeschmack,m,Fuchs·ge·schmack,ˈfʊksɡəˌʃmak,3
Fuchsin,n,Fuch·sin,fʊˈksiːn,2
Fuchsschwanz,m,Fuchs·schwanz,ˈfʊksˌʃvant͡s,2
Fuchtel,f,Fuch·tel,ˈfʊxtl̩,2
Fucose,f,Fu·co·se,,3
Fuder,n,Fu·der,ˈfuːdɐ,2
Fuffi,m,Fuf·fi,ˈfʊfi,2
Fug,m,Fug,fuːk,1
Fuge,f,Fu·ge,ˈfuːɡə,2
Fugen-s,n,Fu·gen-s,ˈfuːɡŋ̍ˌʔɛs,3
Fugenbreite,f,Fu·gen·brei·te,ˈfuːɡn̩ˌbʁaɪ̯tə,4
Fugenelement,n,Fu·gen·ele·ment,ˈfuːɡn̩ʔeleˌmɛnt,4
Fugenlaut,m,Fu·gen·laut,ˈfuːɡn̩ˌlaʊ̯t,3
Fugenlüftung,f,Fu·gen·lüf·tung,ˈfuːɡn̩ˌlʏftʊŋ,4
Fugenmorphem,n,Fu·gen·mor·phem,ˈfuːɡn̩mɔʁˌfeːm,4
Fugu,n,Fu·gu,ˈfuːɡu,2
Fuhre,f,Fuh·re,ˈfuːʁə,2
Fuhrmann,m,Fuhr·mann,,2
Fuhrpark,m,Fuhr·park,ˈfuːɐ̯ˌpaʁk,2
Fuhrwerk,n,Fuhr·werk,ˈfuːɐ̯ˌvɛʁk,2
Fujiyama,m,Fu·ji·ya·ma,,4
Ful,,Ful,,1
Ful-Sprache,f,Ful-Spra·che,,3
Fulfulde,,Ful·ful·de,,3
Full House,n,Full,fʊl,1
Fullback,m,Full·back,ˈfʊlˌbɛk,2
Fulltime-Job,m,Full·time-Job|Full-Time-Job,ˈfʊltaɪ̯mˌd͡ʒɔp,5
Fulltimejob,m,Full·time·job,ˈfʊltaɪ̯mˌd͡ʒɔp,3
Fumarole,f,Fu·ma·ro·le,fumaˈʁoːlə,4
Fumarsäure,f,Fu·mar·säu·re,fuˈmaːɐ̯zɔɪ̯ʁə,4
Fumble,mn,Fum·ble,,2
Fund,mn,Fund,fʊnt,1
Fundament,n,Fun·da·ment,fʊndaˈmɛnt,3
Fundamentalismus,m,Fun·da·men·ta·lis·mus,fʊndamɛntaˈlɪsmʊs,6
Fundamentalist,m,Fun·da·men·ta·list,ˌfʊndamɛntaˈlɪst,5
Fundbüro,n,Fund·bü·ro,ˈfʊntbyˌʁoː,3
Fundgebiet,n,Fund·ge·biet,ˈfʊntɡəˌbiːt,3
Fundgrube,f,Fund·gru·be,ˈfʊntˌɡʁuːbə,3
Fundhorizont,m,Fund·ho·ri·zont,ˈfʊnthoʁiˌt͡sɔnt,4
Fundhöffigkeit,f,Fund·höf·fig·keit,,4
Fundort,m,Fund·ort,ˈfʊntˌʔɔʁt,2
Fundraising,n,Fund·rai·sing,ˈfantˌʁeːzɪŋ,3
Fundsache,f,Fund·sa·che,ˈfʊntˌzaxə,3
Fundstück,n,Fund·stück,ˈfʊntˌʃtʏk,2
Fundus,m,Fun·dus,ˈfʊndʊs,2
Funeralien,,NA,funəˈʁaːli̯ən,NA
Fungibilität,f,Fun·gi·bi·li·tät,fʊŋɡibiliˈtɛːt,5
Fungizid,n,Fun·gi·zid,fʊŋɡiˈt͡siːt,3
Fungosität,f,Fun·go·si·tät,fʊŋɡoziˈtɛːt,4
Funk,m,Funk,fʊŋk,1
Funke,fm,Fun·ke,ˈfʊŋkə,2
Funken,mn,Fun·ken,ˈfʊŋkn̩,2
Funkenflug,m,Fun·ken·flug,ˈfʊŋkn̩ˌfluːk,3
Funkensonntag,m,Fun·ken·sonn·tag,ˈfʊŋkn̩ˌzɔntaːk,4
Funker,m,Fun·ker,ˈfʊŋkɐ,2
Funkgerät,n,Funk·ge·rät,ˈfʊŋkɡəˌʁɛːt,3
Funkloch,n,Funk·loch,ˈfʊŋkˌlɔx,2
Funkmeldung,f,Funk·mel·dung,ˈfʊŋkˌmɛldʊŋ,3
Funknetz,n,Funk·netz,ˈfʊŋkˌnɛt͡s,2
Funksender,m,Funk·sen·der,ˈfʊŋkˌzɛndɐ,3
Funkspruch,m,Funk·spruch,ˈfʊŋkˌʃpʁʊx,2
Funkstille,f,Funk·stil·le,ˈfʊŋkˌʃtɪlə,3
Funkstreife,f,Funk·strei·fe,ˈfʊŋkˌʃtʁaɪ̯fə,3
Funktastsinn,m,Funk·tast·sinn,ˈfʊŋkˌtastzɪn,3
Funktechnik,f,Funk·tech·nik,ˈfʊŋkˌtɛçnɪk,3
Funktiolekt,m,Funk·tio·lekt,fʊŋkt͡si̯oˈlɛkt,3
Funktion,f,Funk·ti·on,fʊŋkˈt͡si̯oːn,3
Funktionalismus,m,Funk·ti·o·na·lis·mus,fʊŋkt͡si̯onaˈlɪsmʊs,6
Funktionalität,f,Funk·ti·o·na·li·tät,ˌfʊŋkt͡si̯onaliˈtɛːt,6
Funktionalstil,m,Funk·ti·o·nal·stil,fʊŋkt͡si̯oˈnaːlˌʃtiːl,5
Funktionalstilistik,f,Funk·ti·o·nal·sti·lis·tik,fʊŋkt͡si̯oˈnaːlʃtiˌlɪstɪk,7
Funktionselement,n,Funk·ti·ons·ele·ment,fʊŋkˈt͡si̯oːnsʔeleˌmɛnt,5
Funktionsjacke,f,Funk·ti·ons·ja·cke,fʊŋkˈt͡si̯oːnsˌjakə,5
Funktionskleidung,f,Funk·ti·ons·klei·dung,fʊŋkˈt͡si̯oːnsˌklaɪ̯dʊŋ,5
Funktionssocke,f,Funk·ti·ons·so·cke,fʊŋkˈt͡si̯oːnsˌzɔkə,5
Funktionstaste,f,Funk·ti·ons·tas·te,fʊŋkˈt͡si̯oːnsˌtastə,5
Funktionsverb,n,Funk·ti·ons·verb,fʊŋkˈt͡si̯oːnsˌvɛʁp,4
Funktionsverbgefüge,n,Funk·ti·ons·verb·ge·fü·ge,fʊŋkˈt͡si̯oːnsvɛʁpɡəˌfyːɡə,7
Funktionsweise,f,Funk·ti·ons·wei·se,fʊŋkˈt͡si̯oːnsˌvaɪ̯zə,5
Funktionswort,n,Funk·ti·ons·wort,fʊŋkˈt͡si̯oːnsvɔʁt,4
Funktionswäsche,f,Funk·ti·ons·wä·sche,fʊŋkˈt͡si̯oːnsˌvɛʃə,5
Funktionär,m,Funk·ti·o·när,fʊŋkt͡si̯oˈnɛːɐ̯,4
Funkturm,m,Funk·turm,ˈfʊŋkˌtʊʁm,2
Funkuhr,f,Funk·uhr,ˈfʊŋkˌʔuːɐ̯,2
Funkwesen,n,Funk·we·sen,ˈfʊŋkˌveːzn̩,3
Funkzelle,f,Funk·zel·le,ˈfʊŋkˌt͡sɛlə,3
Funzel,f,Fun·zel,ˈfʊnt͡sl̩,2
Furage,f,Fu·ra·ge,fuˈʁaːʒə,3
Furan,n,Fu·ran,fuˈʁaːn,2
Furche,f,Fur·che,ˈfʊʁçə,2
Furcht,f,Furcht,fʊʁçt,1
Furie,f,Fu·rie,ˈfuːʁiə,2
Furier,m,Fu·rier,fuˈʁiːɐ̯,2
Furlanisch,f,Fur·la·nisch,,3
Furmint,m,Fur·mint,,2
Furnier,n,Fur·nier,fʊʁˈniːɐ̯,2
Furor,m,Fu·ror,ˈfuːʁoːɐ̯,2
Furor teutonicus,m,Fu·ror,ˈfuːʁoːɐ̯,2
Furore,fn,Fu·ro·re,fuˈʁoːʁə,3
Furry,fm,Fur·ry,ˈfɜɹi,2
Furt,f,Furt,fʊʁt,1
Furunkel,mn,Fu·run·kel,fuˈʁʊŋkl̩,3
Furz,m,Furz,fʊʁt͡s,1
Furzmolle,f,Furz·mol·le,ˈfʊʁt͡sˌmɔlə,3
Furzmulde,f,Furz·mul·de,ˈfʊʁt͡sˌmʊldə,3
Fusarinsäure,f,Fu·sa·rin·säu·re,,5
Fusel,m,Fu·sel,ˈfuːzl̩,2
Fuselöl,n,Fu·sel·öl,ˈfuːzl̩ˌʔøːl,3
Fusidinsäure,f,Fu·si·din·säu·re,,5
Fusilli,,Fu·sil·li,fuˈzɪli,3
Fusion,f,Fu·si·on,fuˈzi̯oːn,3
Fusionsgerücht,n,Fu·si·ons·ge·rücht,fuˈzi̯oːnsɡəˌʁʏçt,5
Fusionskraft,f,Fu·si·ons·kraft,fuˈzi̯oːnsˌkʁaft,4
Fusionskraftwerk,n,Fu·si·ons·kraft·werk,fuˈzi̯oːnsˌkʁaftvɛʁk,5
Fusionsküche,f,Fu·si·ons·kü·che,fuˈzi̯oːnsˌkʏçə,5
Fusionsreaktor,m,Fu·si·ons·re·ak·tor,fuˈzi̯oːnsʁeˌaktoːɐ̯,6
Fusionsversuch,m,Fu·si·ons·ver·such,fuˈzi̯oːnsfɛɐ̯ˌzuːx,5
Fussel,fm,Fus·sel,ˈfʊsl̩,2
Fusselentferner,m,Fus·sel·ent·fer·ner,ˈfʊsl̩ʔɛntˌfɛʁnɐ,5
Fusuma,f,Fu·su·ma,,3
Fut,f,Fut,fuːt,1
Futilität,f,Fu·ti·li·tät,futiliˈtɛːt,4
Futon,m,Fu·ton,ˈfuːtɔn,2
Futonbett,n,Fu·ton·bett,ˈfuːtɔnˌbɛt,3
Futsal,m,Fut·sal,ˈfʊtsal,2
Futter,n,Fut·ter,ˈfʊtɐ,2
Futteral,n,Fut·te·ral,fʊtəˈʁaːl,3
Futterfisch,m,Fut·ter·fisch,ˈfʊtɐˌfɪʃ,3
Futtergerste,f,Fut·ter·gers·te,ˈfʊtɐˌɡɛʁstə,4
Futtergras,n,Fut·ter·gras,ˈfʊtɐˌɡʁaːs,3
Futtermangel,m,Fut·ter·man·gel,ˈfʊtɐˌmaŋl̩,4
Futtermenge,f,Fut·ter·men·ge,ˈfʊtɐˌmɛŋə,4
Futtermittel,n,Fut·ter·mit·tel,ˈfʊtɐˌmɪtl̩,4
Futtermittelproduktion,f,Fut·ter·mit·tel·pro·duk·ti·on,ˈfʊtɐmɪtl̩pʁodʊkˌt͡si̯oːn,8
Futternapf,m,Fut·ter·napf,ˈfʊtɐˌnap͡f,3
Futternarkose,f,Fut·ter·nar·ko·se,ˈfʊtɐnaʁˌkoːzə,5
Futterneid,m,Fut·ter·neid,ˈfʊtɐˌnaɪ̯t,3
Futterration,f,Fut·ter·ra·ti·on,ˈfʊtɐʁaˌt͡si̯oːn,5
Futtersack,m,Fut·ter·sack,ˈfʊtɐˌzak,3
Futterschwinge,f,Fut·ter·schwin·ge,ˈfʊtɐˌʃvɪŋə,4
Futterschüssel,f,Fut·ter·schüs·sel,ˈfʊtɐˌʃʏsl̩,4
Futterstelle,f,Fut·ter·stel·le,ˈfʊtɐˌʃtɛlə,4
Futtertrog,m,Fut·ter·trog,ˈfʊtɐˌtʁoːk,3
Futur,n,Fu·tur,fuˈtuːɐ̯,2
Futur I,n,Fu·tur,futuːɐ̯,2
Future,m,Fu·ture,ˈfjuːt͡ʃɐ,2
Futurismus,m,Fu·tu·ris·mus,futuˈʁɪsmʊs,4
Futurist,m,Fu·tu·rist,futuˈʁɪst,3
Futuristin,f,Fu·tu·ris·tin,futuˈʁɪstɪn,4
Futurologe,m,Fu·tu·ro·lo·ge,futuʁoˈloːɡə,5
Futurologie,f,Fu·tu·ro·lo·gie,futuʁoloˈɡiː,5
Futurologin,f,Fu·tu·ro·lo·gin,futuʁoˈloːɡɪn,5
Futurperfekt,n,Fu·tur·per·fekt,,4
Futurum,n,Fu·tu·rum,fuˈtuːʁʊm,3
Futurum exactum,n,Fu·tu·rum,fuˈtuːʁʊm,3
Fux,m,Fux,fʊks,1
Fuzel,m,Fu·zel,ˈfuːt͡sl̩,2
Fuzerl,n,Fu·zerl,ˈfuːt͡sɐl,2
Fuzzi,m,Fuz·zi,ˈfʊt͡si,2
Fuzzy Logic,f,Fuz·zy,,2
Fuzzy-Logic,f,Fuz·zy-Lo·gic,,4
Fuzzylogic,f,Fuz·zy·lo·gic,,4
Fuzzylogik,f,Fuz·zy·lo·gik,ˈfaziˌloːɡɪk,4
Fuß,m,Fuß,fuːs,1
Fußabdruck,m,Fuß·ab·druck,ˈfuːsˌʔapdʁʊk,3
Fußabtreter,m,Fuß·ab·tre·ter,ˈfuːsʔapˌtʁeːtɐ,4
Fußabwehr,f,Fuß·ab·wehr,ˈfuːsʔapˌveːɐ̯,3
Fußball,m,Fuß·ball,ˈfuːsˌbal,2
Fußball-Bundesliga,f,Fuß·ball-Bun·des·li·ga,ˈfuːsbalˈbʊndəsˌliːɡa,6
Fußball-Europameisterschaft,f,Fuß·ball-Eu·ro·pa·meis·ter·schaft,ˈfuːsbalʔɔɪ̯ˌʁoːpamaɪ̯stɐʃaft,8
Fußball-WM,f,Fuß·ball-WM,ˈfuːsbalveːˌʔɛm,3
Fußball-Weltmeisterschaft,f,Fuß·ball-Welt·meis·ter·schaft,ˈfuːsbalˌvɛltmaɪ̯stɐʃaft,6
Fußballabteilung,f,Fuß·ball·ab·tei·lung,ˈfuːsbalʔapˌtaɪ̯lʊŋ,5
Fußballanhänger,m,Fuß·ball·an·hän·ger,ˈfuːsbalˌʔanhɛŋɐ,5
Fußballbundesliga,f,Fuß·ball·bun·des·li·ga,ˈfuːsbalˈbʊndəsˌliːɡa,6
Fußballclub,m,Fuß·ball·club,ˈfuːsbalˌklʊp,3
Fußballer,m,Fuß·bal·ler,ˈfuːsˌbalɐ,3
Fußballerin,f,Fuß·bal·le·rin,ˈfuːsˌbaləʁɪn,4
Fußballeuropameisterschaft,f,Fuß·ball·eu·ro·pa·meis·ter·schaft,ˈfuːsbalʔɔɪ̯ˌʁoːpamaɪ̯stɐʃaft,8
Fußballfan,m,Fuß·ball·fan,ˈfuːsbalˌfɛn,3
Fußballfeld,n,Fuß·ball·feld,ˈfuːsbalˌfɛlt,3
Fußballfieber,n,Fuß·ball·fie·ber,ˈfuːsbalˌfiːbɐ,4
Fußballfunktionär,m,Fuß·ball·funk·ti·o·när,ˈfuːsbalfʊŋkt͡si̯oˌnɛːɐ̯,6
Fußballgott,m,Fuß·ball·gott,ˈfuːsbalˌɡɔt,3
Fußballjargon,m,Fuß·ball·jar·gon,ˈfuːsbalʒaʁˌɡɔŋ,4
Fußballklub,m,Fuß·ball·klub,ˈfuːsbalˌklʊp,3
Fußballlegende,f,Fuß·ball·le·gen·de,ˈfuːsballeˌɡɛndə,5
Fußballmannschaft,f,Fuß·ball·mann·schaft,ˈfuːsbalˌmanʃaft,4
Fußballmeisterschaft,f,Fuß·ball·meis·ter·schaft,ˈfuːsbalˌmaɪ̯stɐʃaft,5
Fußballnationalmannschaft,f,Fuß·ball·na·ti·o·nal·mann·schaft,fuːsbalnat͡si̯oˈnaːlmanʃaft,8
Fußballplakat,n,Fuß·ball·pla·kat,ˈfuːsbalplaˌkaːt,4
Fußballplatz,m,Fuß·ball·platz,ˈfuːsbalˌplat͡s,3
Fußballprofi,m,Fuß·ball·pro·fi,ˈfuːsbalˌpʁoːfi,4
Fußballschuh,m,Fuß·ball·schuh,ˈfuːsbalˌʃuː,3
Fußballspiel,n,Fuß·ball·spiel,ˈfuːsbalˌʃpiːl,3
Fußballspieler,m,Fuß·ball·spie·ler,ˈfuːsbalˌʃpiːlɐ,4
Fußballspielerin,f,Fuß·ball·spie·le·rin,ˈfuːsbalˌʃpiːləʁɪn,5
Fußballsport,m,Fuß·ball·sport,ˈfuːsbalˌʃpɔʁt,3
Fußballsportverein,m,Fuß·ball·sport·ver·ein,ˈfuːsbalʃpɔʁtfɛɐ̯ˌʔaɪ̯n,5
Fußballstadion,n,Fuß·ball·sta·di·on,ˈfuːsbalˌʃtaːdi̯ɔn,5
Fußballstar,m,Fuß·ball·star,ˈfuːsbalˌstaːɐ̯,3
Fußballteam,n,Fuß·ball·team,ˈfuːsbalˌtiːm,3
Fußballtor,n,Fuß·ball·tor,ˈfuːsbalˌtoːɐ̯,3
Fußballtorhüter,m,Fuß·ball·tor·hü·ter,ˈfuːsˌbaltoːɐ̯ˌhyːtɐ,5
Fußballtorhüterin,f,Fuß·ball·tor·hü·te·rin,ˈfuːsˌbaltoːɐ̯ˌhyːtəʁɪn,6
Fußballtrainer,m,Fuß·ball·trai·ner,ˈfuːsbalˌtʁɛːnɐ,4
Fußballtrainerin,f,Fuß·ball·trai·ne·rin,ˈfuːsbalˌtʁɛːnəʁɪn,5
Fußballtraining,n,Fuß·ball·trai·ning,ˈfuːsbalˌtʁɛːnɪŋ,4
Fußballtreffer,m,Fuß·ball·tref·fer,ˈfuːsbalˌtʁɛfɐ,4
Fußballturnier,n,Fuß·ball·tur·nier,ˈfuːsbaltʊʁˌniːɐ̯,4
Fußballverband,m,Fuß·ball·ver·band,ˈfuːsbalfɛɐ̯ˌbant,4
Fußballverein,m,Fuß·ball·ver·ein,ˈfuːsbalfɛɐ̯ˌʔaɪ̯n,4
Fußballweltmeister,m,Fuß·ball·welt·meis·ter,ˈfuːsbalˌvɛltmaɪ̯stɐ,5
Fußballweltmeisterin,f,Fuß·ball·welt·meis·te·rin,ˈfuːsbalˌvɛltmaɪ̯stəʁɪn,6
Fußballweltmeisterschaft,f,Fuß·ball·welt·meis·ter·schaft,ˈfuːsbalˌvɛltmaɪ̯stɐʃaft,6
Fußbank,f,Fuß·bank,ˈfuːsˌbaŋk,2
Fußbett,n,Fuß·bett,ˈfuːsˌbɛt,2
Fußboden,m,Fuß·bo·den,ˈfuːsˌboːdn̩,3
Fußbodenbelag,m,Fuß·bo·den·be·lag,ˈfuːsboːdn̩bəˌlaːk,5
Fußbodenheizung,f,Fuß·bo·den·hei·zung,ˈfuːsboːdn̩ˌhaɪ̯t͡sʊŋ,5
Fußbotenpost,f,Fuß·bo·ten·post,ˈfuːsboːtn̩ˌpɔst,4
Fußbreit,m,Fuß·breit,ˈfuːsˌbʁaɪ̯t,2
Fußende,n,Fuß·en·de,ˈfuːsˌʔɛndə,3
Fußfall,m,Fuß·fall,ˈfuːsˌfal,2
Fußfessel,f,Fuß·fes·sel,ˈfuːsˌfɛsl̩,3
Fußfetischist,m,Fuß·fe·ti·schist,ˈfuːsfetɪˌʃɪst,4
Fußgeher,m,Fuß·ge·her,ˈfuːsˌɡeːɐ,3
